SKU NAME,VALUE,DESCRIPTION
PRODUCT_UNDEFINED,0,Undefined
PRODUCT_ULTIMATE,1,"Ultimate Edition, e.g. Windows Vista Ultimate."
PRODUCT_HOME_BASIC,2,Home Basic Edition
PRODUCT_HOME_PREMIUM,3,Home Premium Edition
PRODUCT_ENTERPRISE,4,Enterprise Edition
PRODUCT_BUSINESS,6,Business Edition
PRODUCT_STANDARD_SERVER,7,Windows Server Standard Edition (Desktop Experience installation)
PRODUCT_DATACENTER_SERVER,8,Windows Server Datacenter Edition (Desktop Experience installation)
PRODUCT_SMALLBUSINESS_SERVER,9,Small Business Server Edition
PRODUCT_ENTERPRISE_SERVER,10,Enterprise Server Edition
PRODUCT_STARTER,11,Starter Edition
PRODUCT_DATACENTER_SERVER_CORE,12,Datacenter Server Core Edition
PRODUCT_STANDARD_SERVER_CORE,13,Standard Server Core Edition
PRODUCT_ENTERPRISE_SERVER_CORE,14,Enterprise Server Core Edition
PRODUCT_WEB_SERVER,17,Web Server Edition
PRODUCT_HOME_SERVER,19,Home Server Edition
PRODUCT_STORAGE_EXPRESS_SERVER,20,Storage Express Server Edition
PRODUCT_STORAGE_STANDARD_SERVER,21,Windows Storage Server Standard Edition (Desktop Experience installation)
PRODUCT_STORAGE_WORKGROUP_SERVER,22,Windows Storage Server Workgroup Edition (Desktop Experience installation)
PRODUCT_STORAGE_ENTERPRISE_SERVER,23,Storage Enterprise Server Edition
PRODUCT_SERVER_FOR_SMALLBUSINESS,24,Server For Small Business Edition
PRODUCT_SMALLBUSINESS_SERVER_PREMIUM,25,Small Business Server Premium Edition
PRODUCT_ENTERPRISE_N,27,Windows Enterprise Edition
PRODUCT_ULTIMATE_N,28,Windows Ultimate Edition
PRODUCT_WEB_SERVER_CORE,29,Windows Server Web Server Edition (Server Core installation)
PRODUCT_STANDARD_SERVER_V,36,Windows Server Standard Edition without Hyper-V
PRODUCT_DATACENTER_SERVER_V,37,Windows Server Datacenter Edition without Hyper-V (full installation)
PRODUCT_ENTERPRISE_SERVER_V,38,Windows Server Enterprise Edition without Hyper-V (full installation)
PRODUCT_DATACENTER_SERVER_CORE_V,39,Windows Server Datacenter Edition without Hyper-V (Server Core installation)
PRODUCT_STANDARD_SERVER_CORE_V,40,Windows Server Standard Edition without Hyper-V (Server Core installation)
PRODUCT_ENTERPRISE_SERVER_CORE_V,41,Windows Server Enterprise Edition without Hyper-V (Server Core installation)
PRODUCT_HYPERV,42,Microsoft Hyper-V Server
PRODUCT_STORAGE_EXPRESS_SERVER_CORE,43,Storage Server Express Edition (Server Core installation)
PRODUCT_STORAGE_STANDARD_SERVER_CORE,44,Storage Server Standard Edition (Server Core installation)
PRODUCT_STORAGE_WORKGROUP_SERVER_CORE,45,Storage Server Workgroup Edition (Server Core installation)
PRODUCT_STORAGE_ENTERPRISE_SERVER_CORE,46,Storage Server Enterprise Edition (Server Core installation)
PRODUCT_SB_SOLUTION_SERVER,50,Windows Server Essentials (Desktop Experience installation)
PRODUCT_SMALLBUSINESS_SERVER_PREMIUM_CORE,63,Small Business Server Premium (Server Core installation)
PRODUCT_CLUSTER_SERVER_V,64,Windows Compute Cluster Server without Hyper-V
PRODUCT_CORE_ARM,97,Windows RT
PRODUCT_CORE,101,Windows Home
PRODUCT_PROFESSIONAL_WMC,103,Windows Professional with Media Center
PRODUCT_MOBILE_CORE,104,Windows Mobile
PRODUCT_IOTUAP,123,Windows IoT (Internet of Things) Core
PRODUCT_DATACENTER_NANO_SERVER,143,Windows Server Datacenter Edition (Nano Server installation)
PRODUCT_STANDARD_NANO_SERVER,144,Windows Server Standard Edition (Nano Server installation)
PRODUCT_DATACENTER_WS_SERVER_CORE,147,Windows Server Datacenter Edition (Server Core installation)
PRODUCT_STANDARD_WS_SERVER_CORE,148,Windows Server Standard Edition (Server Core installation)
